"자치구별(1)","항목","시점","경제활동별(1)",데이터
"중구","2020년 기준년 연쇄가격","2020","지역내총생산(시장가격)",60121246
"중구","2020년 기준년 연쇄가격","2020","순생산물세",7146655
"중구","2020년 기준년 연쇄가격","2020","총부가가치(기초가격)",53145450
"중구","2020년 기준년 연쇄가격","2020","농업, 임업 및 어업",15
"중구","2020년 기준년 연쇄가격","2020","광업",469
"중구","2020년 기준년 연쇄가격","2020","제조업",1205786
"중구","2020년 기준년 연쇄가격","2020","전기, 가스, 증기 및 공기 조절 공급업",91393
"중구","2020년 기준년 연쇄가격","2020","건설업",505547
"중구","2020년 기준년 연쇄가격","2020","도매 및 소매업",7793846
"중구","2020년 기준년 연쇄가격","2020","운수 및 창고업",1440860
"중구","2020년 기준년 연쇄가격","2020","숙박 및 음식점업",749475
"중구","2020년 기준년 연쇄가격","2020","정보통신업",6920485
"중구","2020년 기준년 연쇄가격","2020","금융 및 보험업",21587139
"중구","2020년 기준년 연쇄가격","2020","부동산업",1429433
"중구","2020년 기준년 연쇄가격","2020","사업서비스업",6488923
"중구","2020년 기준년 연쇄가격","2020","공공 행정, 국방 및 사회보장 행정",2892249
"중구","2020년 기준년 연쇄가격","2020","교육 서비스업",755160
"중구","2020년 기준년 연쇄가격","2020","보건업 및 사회복지서비스업",641311
"중구","2020년 기준년 연쇄가격","2020","문화 및 기타 서비스업",643359
"중구","2020년 기준년 연쇄가격","2021","지역내총생산(시장가격)",63637231
"중구","2020년 기준년 연쇄가격","2021","순생산물세",8061816
"중구","2020년 기준년 연쇄가격","2021","총부가가치(기초가격)",55575415
"중구","2020년 기준년 연쇄가격","2021","농업, 임업 및 어업",36
"중구","2020년 기준년 연쇄가격","2021","광업",31
"중구","2020년 기준년 연쇄가격","2021","제조업",1243636
"중구","2020년 기준년 연쇄가격","2021","전기, 가스, 증기 및 공기 조절 공급업",90949
"중구","2020년 기준년 연쇄가격","2021","건설업",511086
"중구","2020년 기준년 연쇄가격","2021","도매 및 소매업",7804429
"중구","2020년 기준년 연쇄가격","2021","운수 및 창고업",1694612
"중구","2020년 기준년 연쇄가격","2021","숙박 및 음식점업",838494
"중구","2020년 기준년 연쇄가격","2021","정보통신업",7614763
"중구","2020년 기준년 연쇄가격","2021","금융 및 보험업",23007878
"중구","2020년 기준년 연쇄가격","2021","부동산업",1390522
"중구","2020년 기준년 연쇄가격","2021","사업서비스업",6385247
"중구","2020년 기준년 연쇄가격","2021","공공 행정, 국방 및 사회보장 행정",2924673
"중구","2020년 기준년 연쇄가격","2021","교육 서비스업",746162
"중구","2020년 기준년 연쇄가격","2021","보건업 및 사회복지서비스업",659123
"중구","2020년 기준년 연쇄가격","2021","문화 및 기타 서비스업",663773
"중구","2020년 기준년 연쇄가격","2022","지역내총생산(시장가격)",66976493
"중구","2020년 기준년 연쇄가격","2022","순생산물세",7773510
"중구","2020년 기준년 연쇄가격","2022","총부가가치(기초가격)",59217256
"중구","2020년 기준년 연쇄가격","2022","농업, 임업 및 어업",33
"중구","2020년 기준년 연쇄가격","2022","광업",116
"중구","2020년 기준년 연쇄가격","2022","제조업",1357110
"중구","2020년 기준년 연쇄가격","2022","전기, 가스, 증기 및 공기 조절 공급업",89734
"중구","2020년 기준년 연쇄가격","2022","건설업",120914
"중구","2020년 기준년 연쇄가격","2022","도매 및 소매업",7695775
"중구","2020년 기준년 연쇄가격","2022","운수 및 창고업",1703333
"중구","2020년 기준년 연쇄가격","2022","숙박 및 음식점업",1201240
"중구","2020년 기준년 연쇄가격","2022","정보통신업",8062369
"중구","2020년 기준년 연쇄가격","2022","금융 및 보험업",26251865
"중구","2020년 기준년 연쇄가격","2022","부동산업",1297323
"중구","2020년 기준년 연쇄가격","2022","사업서비스업",6155660
"중구","2020년 기준년 연쇄가격","2022","공공 행정, 국방 및 사회보장 행정",3061905
"중구","2020년 기준년 연쇄가격","2022","교육 서비스업",792186
"중구","2020년 기준년 연쇄가격","2022","보건업 및 사회복지서비스업",670372
"중구","2020년 기준년 연쇄가격","2022","문화 및 기타 서비스업",719426
"용산구","2020년 기준년 연쇄가격","2015","지역내총생산(시장가격)",13751107
"용산구","2020년 기준년 연쇄가격","2015","순생산물세",937077
"용산구","2020년 기준년 연쇄가격","2015","총부가가치(기초가격)",12812209
"용산구","2020년 기준년 연쇄가격","2015","농업, 임업 및 어업",13626
"용산구","2020년 기준년 연쇄가격","2015","광업",-
"용산구","2020년 기준년 연쇄가격","2015","제조업",171076
"용산구","2020년 기준년 연쇄가격","2015","전기, 가스, 증기 및 공기 조절 공급업",71308
"용산구","2020년 기준년 연쇄가격","2015","건설업",559805
"용산구","2020년 기준년 연쇄가격","2015","도매 및 소매업",3325312
"용산구","2020년 기준년 연쇄가격","2015","운수 및 창고업",365517
"용산구","2020년 기준년 연쇄가격","2015","숙박 및 음식점업",368168
"용산구","2020년 기준년 연쇄가격","2015","정보통신업",1396028
"용산구","2020년 기준년 연쇄가격","2015","금융 및 보험업",401353
"용산구","2020년 기준년 연쇄가격","2015","부동산업",1509536
"용산구","2020년 기준년 연쇄가격","2015","사업서비스업",1399811
"용산구","2020년 기준년 연쇄가격","2015","공공 행정, 국방 및 사회보장 행정",2068764
"용산구","2020년 기준년 연쇄가격","2015","교육 서비스업",392537
"용산구","2020년 기준년 연쇄가격","2015","보건업 및 사회복지서비스업",333221
"용산구","2020년 기준년 연쇄가격","2015","문화 및 기타 서비스업",481591
"용산구","2020년 기준년 연쇄가격","2016","지역내총생산(시장가격)",14356674
"용산구","2020년 기준년 연쇄가격","2016","순생산물세",1013852
"용산구","2020년 기준년 연쇄가격","2016","총부가가치(기초가격)",13346011
"용산구","2020년 기준년 연쇄가격","2016","농업, 임업 및 어업",6966
"용산구","2020년 기준년 연쇄가격","2016","광업",-
"용산구","2020년 기준년 연쇄가격","2016","제조업",210967
"용산구","2020년 기준년 연쇄가격","2016","전기, 가스, 증기 및 공기 조절 공급업",61915
"용산구","2020년 기준년 연쇄가격","2016","건설업",587629
"용산구","2020년 기준년 연쇄가격","2016","도매 및 소매업",3372507
"용산구","2020년 기준년 연쇄가격","2016","운수 및 창고업",314511
"용산구","2020년 기준년 연쇄가격","2016","숙박 및 음식점업",387426
"용산구","2020년 기준년 연쇄가격","2016","정보통신업",1354336
"용산구","2020년 기준년 연쇄가격","2016","금융 및 보험업",388933
"용산구","2020년 기준년 연쇄가격","2016","부동산업",1473275
"용산구","2020년 기준년 연쇄가격","2016","사업서비스업",2016933
"용산구","2020년 기준년 연쇄가격","2016","공공 행정, 국방 및 사회보장 행정",2012482
"용산구","2020년 기준년 연쇄가격","2016","교육 서비스업",392722
"용산구","2020년 기준년 연쇄가격","2016","보건업 및 사회복지서비스업",347917
"용산구","2020년 기준년 연쇄가격","2016","문화 및 기타 서비스업",496062
"용산구","2020년 기준년 연쇄가격","2017","지역내총생산(시장가격)",15142246
"용산구","2020년 기준년 연쇄가격","2017","순생산물세",1161643
"용산구","2020년 기준년 연쇄가격","2017","총부가가치(기초가격)",13997471
"용산구","2020년 기준년 연쇄가격","2017","농업, 임업 및 어업",7721
"용산구","2020년 기준년 연쇄가격","2017","광업",-
"용산구","2020년 기준년 연쇄가격","2017","제조업",181676
"용산구","2020년 기준년 연쇄가격","2017","전기, 가스, 증기 및 공기 조절 공급업",68783
"용산구","2020년 기준년 연쇄가격","2017","건설업",689755
"용산구","2020년 기준년 연쇄가격","2017","도매 및 소매업",3288481
"용산구","2020년 기준년 연쇄가격","2017","운수 및 창고업",332378
"용산구","2020년 기준년 연쇄가격","2017","숙박 및 음식점업",395331
"용산구","2020년 기준년 연쇄가격","2017","정보통신업",1688306
"용산구","2020년 기준년 연쇄가격","2017","금융 및 보험업",427678
"용산구","2020년 기준년 연쇄가격","2017","부동산업",1554121
"용산구","2020년 기준년 연쇄가격","2017","사업서비스업",2539112
"용산구","2020년 기준년 연쇄가격","2017","공공 행정, 국방 및 사회보장 행정",1665011
"용산구","2020년 기준년 연쇄가격","2017","교육 서비스업",370873
"용산구","2020년 기준년 연쇄가격","2017","보건업 및 사회복지서비스업",348636
"용산구","2020년 기준년 연쇄가격","2017","문화 및 기타 서비스업",500181
"용산구","2020년 기준년 연쇄가격","2018","지역내총생산(시장가격)",15218547
"용산구","2020년 기준년 연쇄가격","2018","순생산물세",1160341
"용산구","2020년 기준년 연쇄가격","2018","총부가가치(기초가격)",14074370
"용산구","2020년 기준년 연쇄가격","2018","농업, 임업 및 어업",9320
"용산구","2020년 기준년 연쇄가격","2018","광업",-
"용산구","2020년 기준년 연쇄가격","2018","제조업",152770
"용산구","2020년 기준년 연쇄가격","2018","전기, 가스, 증기 및 공기 조절 공급업",62738
"용산구","2020년 기준년 연쇄가격","2018","건설업",553940
"용산구","2020년 기준년 연쇄가격","2018","도매 및 소매업",3586927
"용산구","2020년 기준년 연쇄가격","2018","운수 및 창고업",329030
"용산구","2020년 기준년 연쇄가격","2018","숙박 및 음식점업",429183
"용산구","2020년 기준년 연쇄가격","2018","정보통신업",1791776
"용산구","2020년 기준년 연쇄가격","2018","금융 및 보험업",417541
"용산구","2020년 기준년 연쇄가격","2018","부동산업",1596858
"용산구","2020년 기준년 연쇄가격","2018","사업서비스업",2227980
"용산구","2020년 기준년 연쇄가격","2018","공공 행정, 국방 및 사회보장 행정",1637122
"용산구","2020년 기준년 연쇄가격","2018","교육 서비스업",375457
"용산구","2020년 기준년 연쇄가격","2018","보건업 및 사회복지서비스업",383075
"용산구","2020년 기준년 연쇄가격","2018","문화 및 기타 서비스업",526619
"용산구","2020년 기준년 연쇄가격","2019","지역내총생산(시장가격)",15680223
"용산구","2020년 기준년 연쇄가격","2019","순생산물세",1217971
"용산구","2020년 기준년 연쇄가격","2019","총부가가치(기초가격)",14480570
