"시점","자치구별(1)","자치구별(2)",항목,데이터
"2016","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3318462
"2016","서울시","도봉구",구성비 (%),0.8
"2016","서울시","도봉구",인구(추계인구) (명),339015
"2016","서울시","도봉구",1인당 지역내총생산 (천원),9789
"2016","서울시","도봉구",수준지수 (서울특별시=100) (%),23.69
"2017","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3404471
"2017","서울시","도봉구",구성비 (%),0.8
"2017","서울시","도봉구",인구(추계인구) (명),333622
"2017","서울시","도봉구",1인당 지역내총생산 (천원),10205
"2017","서울시","도봉구",수준지수 (서울특별시=100) (%),23.33
"2018","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3535453
"2018","서울시","도봉구",구성비 (%),0.8
"2018","서울시","도봉구",인구(추계인구) (명),330810
"2018","서울시","도봉구",1인당 지역내총생산 (천원),10687
"2018","서울시","도봉구",수준지수 (서울특별시=100) (%),22.98
"2019","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3552456
"2019","서울시","도봉구",구성비 (%),0.8
"2019","서울시","도봉구",인구(추계인구) (명),326198
"2019","서울시","도봉구",1인당 지역내총생산 (천원),10890
"2019","서울시","도봉구",수준지수 (서울특별시=100) (%),22.58
"2020","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3750195
"2020","서울시","도봉구",구성비 (%),0.8
"2020","서울시","도봉구",인구(추계인구) (명),318960
"2020","서울시","도봉구",1인당 지역내총생산 (천원),11758
"2020","서울시","도봉구",수준지수 (서울특별시=100) (%),23.91
"2021","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3759397
"2021","서울시","도봉구",구성비 (%),0.7
"2021","서울시","도봉구",인구(추계인구) (명),310752
"2021","서울시","도봉구",1인당 지역내총생산 (천원),12098
"2021","서울시","도봉구",수준지수 (서울특별시=100) (%),22.65
"2022","서울시","도봉구",지역내총생산 (당해년 가격) (백만원),3651990
"2022","서울시","도봉구",구성비 (%),0.7
"2022","서울시","도봉구",인구(추계인구) (명),305642
"2022","서울시","도봉구",1인당 지역내총생산 (천원),11949
"2022","서울시","도봉구",수준지수 (서울특별시=100) (%),21.30
"2015","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),7847523
"2015","서울시","동대문구",구성비 (%),2.0
"2015","서울시","동대문구",인구(추계인구) (명),366151
"2015","서울시","동대문구",1인당 지역내총생산 (천원),21432
"2015","서울시","동대문구",수준지수 (서울특별시=100) (%),55.08
"2016","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),8291459
"2016","서울시","동대문구",구성비 (%),2.0
"2016","서울시","동대문구",인구(추계인구) (명),361834
"2016","서울시","동대문구",1인당 지역내총생산 (천원),22915
"2016","서울시","동대문구",수준지수 (서울특별시=100) (%),55.46
"2017","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),8574749
"2017","서울시","동대문구",구성비 (%),2.0
"2017","서울시","동대문구",인구(추계인구) (명),357600
"2017","서울시","동대문구",1인당 지역내총생산 (천원),23979
"2017","서울시","동대문구",수준지수 (서울특별시=100) (%),54.83
"2018","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),8638172
"2018","서울시","동대문구",구성비 (%),1.9
"2018","서울시","동대문구",인구(추계인구) (명),361998
"2018","서울시","동대문구",1인당 지역내총생산 (천원),23862
"2018","서울시","동대문구",수준지수 (서울특별시=100) (%),51.30
"2019","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),8460739
"2019","서울시","동대문구",구성비 (%),1.8
"2019","서울시","동대문구",인구(추계인구) (명),359223
"2019","서울시","동대문구",1인당 지역내총생산 (천원),23553
"2019","서울시","동대문구",수준지수 (서울특별시=100) (%),48.84
"2020","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),8649498
"2020","서울시","동대문구",구성비 (%),1.8
"2020","서울시","동대문구",인구(추계인구) (명),352888
"2020","서울시","동대문구",1인당 지역내총생산 (천원),24511
"2020","서울시","동대문구",수준지수 (서울특별시=100) (%),49.85
"2021","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),9016511
"2021","서울시","동대문구",구성비 (%),1.8
"2021","서울시","동대문구",인구(추계인구) (명),347913
"2021","서울시","동대문구",1인당 지역내총생산 (천원),25916
"2021","서울시","동대문구",수준지수 (서울특별시=100) (%),48.52
"2022","서울시","동대문구",지역내총생산 (당해년 가격) (백만원),8990002
"2022","서울시","동대문구",구성비 (%),1.7
"2022","서울시","동대문구",인구(추계인구) (명),347808
"2022","서울시","동대문구",1인당 지역내총생산 (천원),25848
"2022","서울시","동대문구",수준지수 (서울특별시=100) (%),46.08
"2015","서울시","동작구",지역내총생산 (당해년 가격) (백만원),5669751
"2015","서울시","동작구",구성비 (%),1.5
"2015","서울시","동작구",인구(추계인구) (명),412313
"2015","서울시","동작구",1인당 지역내총생산 (천원),13751
"2015","서울시","동작구",수준지수 (서울특별시=100) (%),35.34
"2016","서울시","동작구",지역내총생산 (당해년 가격) (백만원),6124227
"2016","서울시","동작구",구성비 (%),1.5
"2016","서울시","동작구",인구(추계인구) (명),408043
"2016","서울시","동작구",1인당 지역내총생산 (천원),15009
"2016","서울시","동작구",수준지수 (서울특별시=100) (%),36.32
"2017","서울시","동작구",지역내총생산 (당해년 가격) (백만원),6534511
"2017","서울시","동작구",구성비 (%),1.5
"2017","서울시","동작구",인구(추계인구) (명),401213
"2017","서울시","동작구",1인당 지역내총생산 (천원),16287
"2017","서울시","동작구",수준지수 (서울특별시=100) (%),37.24
"2018","서울시","동작구",지역내총생산 (당해년 가격) (백만원),6683107
"2018","서울시","동작구",구성비 (%),1.5
"2018","서울시","동작구",인구(추계인구) (명),398068
"2018","서울시","동작구",1인당 지역내총생산 (천원),16789
"2018","서울시","동작구",수준지수 (서울특별시=100) (%),36.10
"2019","서울시","동작구",지역내총생산 (당해년 가격) (백만원),6660009
"2019","서울시","동작구",구성비 (%),1.4
"2019","서울시","동작구",인구(추계인구) (명),402977
"2019","서울시","동작구",1인당 지역내총생산 (천원),16527
