,cold_cnt_d0,cold_cnt_d_plus_1,cold_cnt_d_plus_2,cold_cnt_d_plus_3,dist_name
pm25_max_d0,0.1431724169443512,0.08531470065127299,0.12902363355927346,0.15830903294617488,DIST_11380
pm25_streak_d0,0.05210423521752589,0.02902711909561413,0.0658063788618952,0.07693311100706457,DIST_11380
pm25_ma_72h,0.14806311444599027,0.15298686997591032,0.17228123224693417,0.1703220889186081,DIST_11380
pm10_avg_d0,0.17066727401986187,0.10855970489521444,0.14166981057767106,0.15494477408524227,DIST_11380
pm10_streak_d0,0.04949410471545753,0.03303119511094961,0.05483440856696024,0.09225430857107249,DIST_11380
pm10_ma_72h,0.17210022639547876,0.16670976699025683,0.181297296408968,0.1726944555107762,DIST_11380
temp_avg_d0,-0.28689673609415856,-0.2878056746427569,-0.28370629032916156,-0.28370390455585753,DIST_11380
temp_diff_d0,0.11169408787582663,0.08915564336202941,0.09991945013613993,0.0924077605781106,DIST_11380
temp_min_d0,-0.2932506443969719,-0.2905471544610876,-0.28742233170327275,-0.28512108215273235,DIST_11380
is_holiday,-0.48244632081574385,-0.13961381622241098,0.2999080583071216,0.055781360451050206,DIST_11380
std_month,0.006316253462909119,-0.004215421309908717,0.009049073732265883,0.014599239611755084,DIST_11380
cold_prev_d1,0.23551554390160415,0.3093060262034537,0.4091026636334684,0.4081189885727889,DIST_11380
cold_prev_d2,0.3087401218930119,0.40917970717754976,0.40815652013504133,0.29619488487197454,DIST_11380
cold_prev_d3,0.4079717071700594,0.4084630725111487,0.29622649730497036,0.23808863467434818,DIST_11380
pm25_avg_d0,0.1457049332896994,0.10066997899731452,0.13429821941838535,0.16088276725912315,DIST_11410
pm25_max_d0,0.14659854565484476,0.09105718419828364,0.14130249210566218,0.16599564143993606,DIST_11410
pm25_streak_d0,0.08180507319047729,0.023080180406279103,0.07924218312864338,0.10204949962287922,DIST_11410
pm25_ma_72h,0.14902134548596976,0.1558838840096561,0.1746758981044051,0.17316770798151093,DIST_11410
pm10_avg_d0,0.18973800115772252,0.1306393311924969,0.17030061799028265,0.18388441660959767,DIST_11410
pm10_streak_d0,0.05297225703315518,0.04056189358363789,0.05731055886531667,0.09853389385332903,DIST_11410
pm10_ma_72h,0.19915774636201003,0.19786441683947315,0.21505413539657378,0.20600427969333704,DIST_11410
temp_avg_d0,-0.28185352053251267,-0.2843177412503227,-0.2782701079844912,-0.27718569625805645,DIST_11410
temp_diff_d0,0.0550123550766155,0.03157031483214793,0.03576678817739826,0.031599484920102845,DIST_11410
temp_min_d0,-0.2887060802219594,-0.28868880854944085,-0.28184343332417133,-0.2802423842831547,DIST_11410
is_holiday,-0.47987042714909933,-0.14630841385743362,0.29948547528727054,0.05638608902790127,DIST_11410
std_month,0.005458296021677029,-0.0047143737588021695,0.008623871290858093,0.014675854193445031,DIST_11410
cold_prev_d1,0.23522402862032307,0.3088926677987678,0.41844480484842395,0.41661241089147844,DIST_11410
cold_prev_d2,0.3084288444524901,0.4184261700628851,0.41665559200313124,0.2966911690359665,DIST_11410
cold_prev_d3,0.4173085062488105,0.4169446462264973,0.29669565479274546,0.23807023124775734,DIST_11410
pm25_avg_d0,0.1662328160075529,0.12535968608322426,0.16271899235915396,0.1873094789926992,DIST_11440
pm25_max_d0,0.16049390037252398,0.09973502472460104,0.15558560566457097,0.18500802828991716,DIST_11440
pm25_streak_d0,0.07153678823444054,0.026041782928565994,0.08938418712326984,0.08859809067222764,DIST_11440
pm25_ma_72h,0.17716666618640206,0.18637540486123325,0.20610837417758943,0.20448883267771026,DIST_11440
pm10_avg_d0,0.18421320714774533,0.1276584457587637,0.16410359499977858,0.18085627380446986,DIST_11440
pm10_streak_d0,0.048798233516090514,0.01815018038842971,0.06419593651550905,0.09552097789292,DIST_11440
pm10_ma_72h,0.19220802282711125,0.19227260625603246,0.2080661147536926,0.20113464985440122,DIST_11440
temp_avg_d0,-0.278776961377765,-0.28139719030540306,-0.2748212505248936,-0.27359722120806534,DIST_11440
temp_diff_d0,0.02940517260829443,-0.0015018675042083414,0.002951284978171025,0.005595071329925809,DIST_11440
temp_min_d0,-0.2832339353358003,-0.28231215341016347,-0.27509656025614954,-0.2745273452909518,DIST_11440
is_holiday,-0.466626305225222,-0.13912845748658706,0.2895468746673822,0.05483721269776922,DIST_11440
std_month,0.004115920549694708,-0.0058998536861201946,0.00695967530856695,0.012514462321528518,DIST_11440
cold_prev_d1,0.2679207194306776,0.3524556840773455,0.43047567815989485,0.4286948513340252,DIST_11440
cold_prev_d2,0.35195065300554645,0.43050921990102237,0.42872472152069535,0.3380698099877666,DIST_11440
cold_prev_d3,0.4293210349088123,0.4290336828349447,0.33810689441296227,0.2696524762843184,DIST_11440
pm25_avg_d0,0.14769995888339083,0.10385071433835834,0.13784730972067885,0.16856621121057158,DIST_11470
pm25_max_d0,0.14527343188473107,0.0803449660583687,0.14554210588617822,0.16766363228911763,DIST_11470
pm25_streak_d0,0.08215290282648881,-0.0035764851054163093,0.09077279233132406,0.09319459766484074,DIST_11470
pm25_ma_72h,0.15202513583288055,0.1611454851952772,0.18015315964415463,0.17999412249733043,DIST_11470
pm10_avg_d0,0.1466339931811387,0.09031236426910287,0.12606063750444155,0.14710371507701278,DIST_11470
pm10_streak_d0,0.016208260759183562,-0.007569260326394036,0.0445258652120317,0.05886185489460397,DIST_11470
pm10_ma_72h,0.14724166705041655,0.14865950698506164,0.1632526963322037,0.1580272658418541,DIST_11470
temp_avg_d0,-0.2837640991545353,-0.2877722112396618,-0.2815949423304747,-0.2797043176257711,DIST_11470
temp_diff_d0,0.02722509481925883,0.013652567469000986,0.013661047705207473,0.010640468693542742,DIST_11470
temp_min_d0,-0.28769408690062703,-0.2905586757723971,-0.28427426971416475,-0.281499070712955,DIST_11470
is_holiday,-0.44938605559906347,-0.13997255691931842,0.27589504316943614,0.05039042991747215,DIST_11470
std_month,0.020580634220425213,0.010416679256233298,0.02324617099674399,0.028646982311962547,DIST_11470
cold_prev_d1,0.28160104546237946,0.38003674487635203,0.4441936156117767,0.44371908524165377,DIST_11470
cold_prev_d2,0.37948407485006325,0.44415681806497964,0.4437340525713234,0.36656532308301387,DIST_11470
cold_prev_d3,0.4428708845583744,0.4440075333300448,0.36654311096903297,0.2825730262891757,DIST_11470
pm25_avg_d0,0.11720995985877054,0.07425277039879785,0.10772466589562975,0.13732523716318404,DIST_11500
pm25_max_d0,0.10441828281072067,0.050648051738081006,0.110908535886107,0.13565091147604297,DIST_11500
pm25_streak_d0,0.04113755284896014,-0.015349645277079972,0.06624207738660914,0.06611730921397943,DIST_11500
pm25_ma_72h,0.11809191578740914,0.12692880813930751,0.1461471904883872,0.14581889791993333,DIST_11500
pm10_avg_d0,0.16621096564975812,0.10595340188606919,0.1442441080750478,0.1627012951481272,DIST_11500
pm10_streak_d0,0.02465585545873845,0.006555112295253322,0.053835230088925025,0.07568904082144033,DIST_11500
pm10_ma_72h,0.1680094695272736,0.16765752606348905,0.18487524698299918,0.1782178561223272,DIST_11500
temp_avg_d0,-0.2860882721900895,-0.2897110020368483,-0.2827276698551747,-0.282486816300268,DIST_11500
temp_diff_d0,-0.00413836710743301,-0.013276875618180832,-0.00983758162172088,-0.017785464190692813,DIST_11500
temp_min_d0,-0.28419931641384844,-0.28608527561614117,-0.2801020878703261,-0.2773013119107368,DIST_11500
is_holiday,-0.44835032725888324,-0.12854532145867892,0.2790845601242407,0.046481089665940695,DIST_11500
std_month,0.017784735366556136,0.0074245271584965035,0.01999275831163141,0.025185077178321708,DIST_11500
cold_prev_d1,0.28218891077033864,0.39072213949108225,0.451558772448328,0.4513263417150098,DIST_11500
cold_prev_d2,0.390258861180724,0.4515269991385663,0.45134072431444117,0.37962426787057796,DIST_11500
